1;afd.sachsen;AfD Sachsen;1
2;afd_thueringen;AfD Thueringen;1
3;afd.paderborn;AfD Paderborn;1
4;afdfraktion_lsa;AfD Fraktion Sachsen-Anhalt;1
5;afdimbundestag;AfD-Fraktion im Deutschen Bundestag;1
6;afd.bund;Afd Bund;1
7;bjoern_hoecke_afd;Bjoern Hoecke;1
8;alice.weidel;Alice Weidel;1
9;afd.hessen;AfD Hessen;1
10;afd_lv_sh;AfD Schleswig-Holstein;1
11;afdfraktion_mv;AfD-Fraktion MV;1
12;afdnrw;AfD NRW;1
13;afd.bayern;AfD Bayern;1
14;niedersachsen_afd;AfD Niedersachsen;1
15;afd.hamburg;AfD Hamburg;1
16;kaiser.afd;Marie-Therese Kaiser;1
17;candy.afd;Candy;1
18;afdimeuparlament;AfD im EU-Parlament;1
19;afd_brandenburg;AfD Brandenburg;1
20;afd.rheinlandpfalz;AfD Rheinland-Pfalz;1
21;afd.fraktion.nrw;AfD-Fraktion NRW;1
22;afd.fraktion.hamburg;AfD-Fraktion Hamburg;1
23;afd.lippe;AfD Kreis Lippe;1
24;afd_potsdam;AfD Potsdam;1
25;afd.magdeburg;AfD Magdeburg;1
26;sebastian.muenzenmaier.afd;Sebastian Muenzenmaier;1
27;martin.reichardt.afd;Martin Reichardt;1
28;afd.schwerin;AfD-Kreisverband Schwerin;1
29;gabrielle.mailbeck.afd;Gabrielle Mailbeck;1
30;afdlandtagbayern;AfD im Landtag von Bayern;1
31;afd_kv_bonn;AfD Bonn;1
32;afd.ostalb;AfD Kreisverband Ostalb;1
33;afd_hannover;AfD Hannover;1
34;afd_boerde;AfD Boerde;1
35;afd.muenchenland;AfD Muenchen Land;1
36;afd.mv;AfD Mecklenburg-Vorpommern;1
37;afd_bitterfeld_wolfen;AfD Bitterfeld-Wolfen;1
38;afdlvsaar;AfD Saarland;1
39;afd_fraktion_rheinlandpfalz;AfD Fraktion Rheinland-Pfalz;1
40;afd.niedersachsen;Alternative fuer Deutschland;1
41;afd_oranienburg;AfD Oranienburg;1
42;afd.laufroth;AfD Lauf-Roth;1
43;afd_fraktion_aa;AfD-Gemeinderatsfraktion Aalen;1
44;afd.westerwald;AfD Westerwald;1
45;afd_panketal;AfD Panketal;1
46;afd.osnabrueck.stadt;AfD Osnabrueck-Stadt;1
47;afd.mainz;AfD Mainz;1
48;afd.fraktion_heilbronn;AfD Fraktion Heilbronn;1
49;afd.darmstadt;AfD Darmstadt;1
50;afd_kv_nuernberg;AFD Nuernberg;1
51;ja_deutschland;Junge Alternative;1
52;ja_brandenburg;Junge Alternative Brandenburg;1
53;junge_alternative_berlin;Junge Alternative Berlin;1
54;junge_alternative_mv;JA Mecklenburg-Vorpommern;1
55;jungealternative_bw;Junge Alternative Baden-Wuerttemberg;1
56;jahessen;Junge Alternative Hessen;1
57;ja_suedholstein;Junge Alternative Suedholstein;1
58;ja_thueringen;Junge Alternative Thueringen;1
59;ja.duisburg;Junge Alternative Duisburg;1
60;jungealternativehamburg;Junge Alternative Hamburg;1
61;jungealternativebadra;Junge Alternative Baden-Baden/Rastatt;1
62;jungealternative_karlsruhe;Junge Alternative Karlsruhe;1
63;ja.bochum;Junge Alternative Bochum;1
64;jungealternative_ostkueste;Junge Alternative RV Ostkueste;1
65;jungealternativedessau;Junge Alternative Dessau-Rosslau;1
66;ja.muenster;Junge Alternative Bezirk Muenster;1
67;jungealternativeheilbronn;Junge Alternative Heilbronn;1
68;jungealternativealtmark;Junge Alternative Altmark;1
69;ja.ludwigsburg;Junge Alternative Ludwigsburg;1
70;ja.mettmann;Junge Alternative Mettmann;1
71;sayu16aya;Sayu/Asa;3
72;coolumbocarsten;Carsten S.;3
73;sonjaschrank;Sonja Schrank;3
74;amon_aria;Armon;3
75;cduspdgrueneclowns;ardzdfgezerpressung;3
76;free_german_national_church_;Free German National Church;2
77;phoelexus;phoelexus;3
78;mr.blocksberg;Mister Blocksberg;3
79;korbspeter;Peter korbs;3
80;der_maskulinist_;Maskulinist;3
81;xaver_71364;Xaver;3
82;g.gen.gewalt;Gegengewalt;3
83;neverforgetniki;Niki;2
84;myers_1904;Marc;3
85;vinc_von_bavaristan;Vincenz;3
86;okan_meral_1903;Okan Meral;3
87;skyfly.motion;DJI Mavic Pilot;3
88;sichtbar_unsichtbar_;SICHTBAR_UNSICHTBAR;3
89;riconapiralla;Rico Napiralla;3
90;aliceforkanzler;aliceforkanzler;3
91;111.grrr.111;Grrr;3
92;i_sell_cards2024;i_sell_cards2024;3
93;pigontio_63;pigontio_63;3
